Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
207;8;SQ;DES AUBADES;AB;18;148;67,6;2;Appartement;66;4;;;;78372
208;9;RES;DE LA SABOTTE;AE;809;247;53,05;2;Appartement;55;3;;;;78372
209;1;SQ;DU JURANCON;AO;895;18;27,81;2;Appartement;28;1;;;;78383
210;3;RUE;LOUIS PASTEUR;A;76;3;101,85;1;Maison;107;6;;;;78550
211;9003;CITE;LA GARENNE A BREFAUT;AV;235;136;55,06;2;Appartement;51;3;;;;78621
212;16;RUE;DE L OCCIDENT;BV;148;4;80,38;2;Appartement;82;4;;;;78646
213;29;RUE;DES LILAS;E;1434;29;71,05;2;Maison;71;3;;;;82096
214;71;CHE;DE L ESCOURCHE;AP;68;608;37,6;1;Appartement;51;2;;;;83009
215;271;BD;DES GRAVIERS;BI;14;110;15,2;1;Appartement;15;1;;;;83009
216;9500;RES;LE ST VINCENT;AK;74;762;29,85;1;Appartement;30;2;;;;83034
217;1;AV;PIERRE DE COUBERTIN;BX;18;244;64,84;2;Appartement;64;3;;;;83070
218;9733;RES;LES TROIS TOURS 2;BW;592;11;37,82;1;Appartement;37;2;;;;85035
219;5;AV;DU LITTORAL;ZW;262;2;64,41;1;Appartement;64;3;;;;85127
220;3;RUE;FIEF DES COUTS;AM;1318;1;63,63;1;Appartement;64;3;;;;85194
221;46;RUE;DU BAS RUET;AT;123;66;88,5;1;Maison;88;4;;;;85262
222;38;RUE;JULES FERRY;B;259;5;81,24;2;Appartement;82;3;;;;88372
223;1;RUE;DE COLMAR;AH;272;29;42,25;1;Appartement;44;2;;;;90010
224;24;RUE;DE CRONSTADT;BL;234;14;56;2;Appartement;56;3;;;;90010
225;43;RUE;DES 3 CHENES;AP;236;19;69,17;2;Appartement;63;4;;;;91114
226;10;RES;LES BOIS DU CERF;AN;4;1151;146,94;1;Maison;168;6;;;;91225
227;5;RUE;MONTTESSUY;AI;86;1;49;2;Appartement;49;3;;;;91326
228;4;ALL;D'AUTRICHE;AV;31;150;93,02;2;Appartement;96;5;;;;91377
229;50;RTE;D ORLEANS RN 20;AA;156;28;40;1;Appartement;44;2;;;;91425
230;10;ALL;DES ERABLES;AP;11;1020;115,97;1;Maison;118;5;;;;91570
231;239;AV;ROBERT LEUTHREAU;AP;110;1;90;1;Maison;45;2;;;;91589
232;4;RUE;BERNARD JUGAULT;AD;97;7;67,23;1;Appartement;66;4;;;;92004
233;26;RUE;DES BOURGUIGNONS;AH;2;2;40,69;2;Appartement;40;3;;;;92004
234;12;RUE;DU R P CH GILBERT;U;39;24;54,2;2;Appartement;54;2;;;;92004
235;1;RUE;CLAUDE MIVIERE;C;110;11;52,47;2;Appartement;52;3;;;;92009
236;6;IMP;BELLEVUE;AK;285;102;65,62;3;Appartement;56;1;;;;92012
237;197;RUE;GALLIENI;AM;1;4;87,15;2;Appartement;88;4;;;;92012
238;19;ALL;ROBERT DOISNEAU;BD;84;4;23,8;1;Appartement;23;1;;;;92012
239;11;RUE;SAINT DENIS;F;13;31;31,2;3;Appartement;29;2;;;;92012
240;11;RUE;FESSART;K;43;13;78,02;2;Appartement;119;4;;;;92012
241;36;RUE;PAUL HENRY THILLOY;D;14;108;76,85;3;Appartement;77;1;;;;92014
242;1162;AV;ROGER SALENGRO;AC;383;5;59,73;1;Appartement;50;3;;;;92022
243;85;AV;HENRI BARBUSSE;C;261;81;40,8;2;Appartement;74;3;;;;92023
244;273;RUE;SAINT DENIS;BK;237;13;61,06;2;Appartement;62;3;;;;92025
245;9;RUE;PAUL BERT;BS;12;260;38,05;2;Appartement;35;2;;;;92025
246;21;RUE;VICTOR HUGO;Z;136;6;32,02;1;Appartement;32;2;;;;92025
247;7;RUE;DE LA SABLIERE;AU;35;12;94,32;4;Appartement;92;4;;;;92026
248;1;SQ;DES COLONNES;AR;43;1021;61,97;2;Appartement;63;3;;;;92048
249;6;RUE;DE L'OUEST;CU;16;262;61,93;2;Appartement;61;3;;;;92050
250;7;RUE;DU GUE;AR;864;2;25,16;1;Appartement;25;1;;;;92063
251;11;RUE;DE LA BENARDE;AR;891;904;46,75;2;Appartement;46;2;;;;92063
252;12;SQ;RONSARD;AS;12;1315;48,5;2;Appartement;47;2;;;;92063
253;7;RUE;LOUIS BLANC;L;77;11;44,17;2;Appartement;43;2;;;;92075
254;55;RUE;DU MOUTIER;K;182;16;35;4;Appartement;35;2;;;;93001
255;77;RUE;SADI CARNOT;O;5;12;30,45;1;Appartement;30;2;;;;93006
256;4;RUE;ARTHUR RIMBAUD;J;236;1084;70,56;1;Appartement;71;3;;;;93010
257;24;RUE;KLEBER;BL;110;1;102,46;3;Appartement;147;6;;;;93048
258;68;RUE;DU COLONEL FABIEN;U;146;24;21,13;1;Appartement;21;1;;;;94016
259;18;RUE;PAUL CARLE;N;50;25;41,57;1;Appartement;42;2;;;;94022
260;15;RUE;DE TRUCY;V;114;18;29,07;2;Appartement;15;1;;;;94033
261;3;ALL;MULATRESSE SOLITUDE;AB;238;47;68,02;1;Appartement;67;3;;;;94041
262;4;RUE;HALIFAX;T;139;211;73,81;1;Appartement;76;3;;;;94042
263;6;RUE;ANQUETIL;D;63;201;50,08;1;Appartement;50;2;;;;94052
264;83;AV;DU BAC;BJ;16;13;61,93;1;Appartement;62;3;;;;94068
265;16;RUE;DU MOUTIER;AV;31;11;34,2;1;Appartement;34;2;;;;94071
266;1;RUE;PIERRE ET MARIE CURIE;X;120;1;39,39;2;Appartement;39;2;;;;94076
267;7;ALL;DE DERRIERE LES JARDINS;AB;168;37;84,23;1;Appartement;82;4;;;;94079
