Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
523;1;07/01/2020;Vente;151000;523
524;1;07/01/2020;Vente;581097,6;524
525;1;07/01/2020;Vente;245000;525
526;1;07/01/2020;Vente;198000;526
527;1;07/01/2020;Vente;233000;527
528;1;07/01/2020;Vente;73500;528
529;1;07/01/2020;Vente;140000;529
530;1;07/01/2020;Vente;66000;530
531;1;07/01/2020;Vente;42500;531
532;1;07/01/2020;Vente;59000;532
533;1;07/01/2020;Vente;66820;533
534;1;07/01/2020;Vente;51000;534
535;1;07/01/2020;Vente;257965;535
536;1;07/01/2020;Vente;150000;536
537;1;07/01/2020;Vente;172000;537
538;1;07/01/2020;Vente;75000;538
539;1;07/01/2020;Vente;140000;539
540;1;07/01/2020;Vente;169600;540
541;1;07/01/2020;Vente;12000;541
542;1;07/01/2020;Vente;74900;542
543;1;07/01/2020;Vente;162000;543
544;1;07/01/2020;Vente;88000;544
545;1;07/01/2020;Vente;87000;545
546;1;07/01/2020;Vente;361000;546
547;1;07/01/2020;Vente;218000;547
548;1;07/01/2020;Vente;159000;548
549;1;07/01/2020;Vente;107000;549
550;1;07/01/2020;Vente;82500;550
551;1;07/01/2020;Vente;123000;551
552;1;07/01/2020;Vente;97000;552
553;1;07/01/2020;Vente;39000;553
554;1;07/01/2020;Vente;34450;554
555;1;07/01/2020;Vente;80300;555
556;1;07/01/2020;Vente;102000;556
557;1;07/01/2020;Vente;92600;557
558;1;07/01/2020;Vente;59000;558
559;1;07/01/2020;Vente;84500;559
560;1;07/01/2020;Vente;111800;560
561;1;07/01/2020;Vente;51500;561
562;1;07/01/2020;Vente;73773,58;562
563;1;07/01/2020;Vente;166450;563
564;1;07/01/2020;Vente;165000;564
565;1;07/01/2020;Vente;371500;565
566;1;07/01/2020;Vente;150400;566
567;1;07/01/2020;Vente;204620;567
568;1;07/01/2020;Vente;118400;568
569;1;07/01/2020;Vente;216000;569
570;1;07/01/2020;Vente;233000;570
571;1;07/01/2020;Vente;60000;571
572;1;07/01/2020;Vente;123000;572
573;1;07/01/2020;Vente;144310;573
574;1;07/01/2020;Vente;76400;574
575;1;07/01/2020;Vente;69000;575
576;1;07/01/2020;Vente;128420;576
577;1;07/01/2020;Vente;80750;577
578;1;07/01/2020;Vente;196400;578
579;1;07/01/2020;Vente;57000;579
580;1;07/01/2020;Vente;602500;580
581;1;07/01/2020;Vente;283050;581
582;1;07/01/2020;Vente;192000;582
583;1;07/01/2020;Vente;61610;583
584;1;07/01/2020;Vente;86980;584
585;1;07/01/2020;Vente;84800;585
586;1;07/01/2020;Vente;253000;586
587;1;07/01/2020;Vente;56500;587
588;1;07/01/2020;Vente;45600;588
589;1;07/01/2020;Vente;245230;589
590;1;07/01/2020;Vente;119000;590
591;1;07/01/2020;Vente;92000;591
592;1;07/01/2020;Vente;179900;592
593;1;07/01/2020;Vente;98000;593
594;1;07/01/2020;Vente;127000;594
595;1;07/01/2020;Vente;167300;595
596;1;07/01/2020;Vente;143300;596
597;1;07/01/2020;Vente;52000;597
598;1;07/01/2020;Vente;92000;598
599;1;07/01/2020;Vente;137900;599
600;1;07/01/2020;Vente;172900;600
601;1;07/01/2020;Vente;132197;601
602;1;07/01/2020;Vente;11000;602
603;1;07/01/2020;Vente;120000;603
604;1;07/01/2020;Vente;585000;604
605;1;07/01/2020;Vente;67500;605
606;1;07/01/2020;Vente;31500;606
607;1;07/01/2020;Vente;275000;607
608;1;07/01/2020;Vente;74000;608
609;1;07/01/2020;Vente;90000;609
610;1;07/01/2020;Vente;209750;610
611;1;07/01/2020;Vente;196500;611
612;1;07/01/2020;Vente;142040;612
613;1;07/01/2020;Vente;183400;613
614;1;07/01/2020;Vente;170000;614
615;1;07/01/2020;Vente;261470;615
616;1;07/01/2020;Vente;630000;616
617;1;07/01/2020;Vente;40000;617
618;1;07/01/2020;Vente;207200;618
619;1;07/01/2020;Vente;266000;619
620;1;07/01/2020;Vente;223090;620
621;1;07/01/2020;Vente;1250000;621
622;1;07/01/2020;Vente;680000;622
623;1;07/01/2020;Vente;459000;623
624;1;07/01/2020;Vente;312000;624
625;1;07/01/2020;Vente;519000;625
626;1;07/01/2020;Vente;324000;626
627;1;07/01/2020;Vente;308729;627
628;1;07/01/2020;Vente;554690;628
629;1;07/01/2020;Vente;231000;629
630;1;07/01/2020;Vente;189000;630
631;1;07/01/2020;Vente;145000;631
632;1;07/01/2020;Vente;192500;632
633;1;07/01/2020;Vente;337000;633
634;1;07/01/2020;Vente;200000;634
635;1;07/01/2020;Vente;70000;635
636;1;07/01/2020;Vente;371270;636
637;1;07/01/2020;Vente;108600;637
638;1;07/01/2020;Vente;423000;638
639;1;07/01/2020;Vente;132500;639
640;1;07/01/2020;Vente;287000;640
641;1;07/01/2020;Vente;468000;641
642;1;07/01/2020;Vente;111500;642
643;1;07/01/2020;Vente;175000;643
644;1;07/01/2020;Vente;47500;644
645;1;07/01/2020;Vente;116000;645
646;1;07/01/2020;Vente;78500;646
647;1;07/01/2020;Vente;138500;647
648;1;07/01/2020;Vente;540000;648
649;1;07/01/2020;Vente;71500;649
650;1;07/01/2020;Vente;421280;650
651;1;07/01/2020;Vente;234000;651
652;1;07/01/2020;Vente;199120;652
653;1;07/01/2020;Vente;339200;653
654;1;07/01/2020;Vente;514142;654
655;1;07/01/2020;Vente;201813;655
656;1;07/01/2020;Vente;202500;656
657;1;07/01/2020;Vente;220000;657
658;1;07/01/2020;Vente;315000;658
659;1;07/01/2020;Vente;149000;659
660;1;07/01/2020;Vente;35000;660
661;1;08/01/2020;Vente;720000;661
662;1;08/01/2020;Vente;190000;662
663;1;08/01/2020;Vente;241030;663
664;1;08/01/2020;Vente;620000;664
665;1;08/01/2020;Vente;97500;665
666;1;08/01/2020;Vente;309000;666
667;1;08/01/2020;Vente;490000;667
668;1;08/01/2020;Vente;340750;668
669;1;08/01/2020;Vente;214700;669
670;1;08/01/2020;Vente;415000;670
671;1;08/01/2020;Vente;195000;671
672;1;08/01/2020;Vente;205000;672
673;1;08/01/2020;Vente;146880;673
674;1;08/01/2020;Vente;95000;674
675;1;08/01/2020;Vente;57000;675
676;1;08/01/2020;Vente;48420;676
677;1;08/01/2020;Vente;93500;677
678;1;08/01/2020;Vente;98000;678
679;1;08/01/2020;Vente;75500;679
680;1;08/01/2020;Vente;105000;680
681;1;08/01/2020;Vente;119800;681
682;1;08/01/2020;Vente;40000;682
683;1;08/01/2020;Vente;152000;683
684;1;08/01/2020;Vente;85000;684
685;1;08/01/2020;Vente;68000;685
